Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Cholera,Inyo,2010,Male,0,9398,0.0,0.0,39.244,-
Cholera,Inyo,2011,Total,0,18666,0.0,0.0,19.761,-
Cholera,Inyo,2011,Female,0,9185,0.0,0.0,40.154,-
Cholera,Inyo,2011,Male,0,9481,0.0,0.0,38.901,-
Cholera,Inyo,2012,Total,0,18578,0.0,0.0,19.854,-
Cholera,Inyo,2012,Female,0,9124,0.0,0.0,40.422,-
Cholera,Inyo,2012,Male,0,9454,0.0,0.0,39.012,-
Cholera,Inyo,2013,Total,0,18584,0.0,0.0,19.848,-
Cholera,Inyo,2013,Female,0,9133,0.0,0.0,40.383,-
Cholera,Inyo,2013,Male,0,9451,0.0,0.0,39.024,-
Cholera,Inyo,2014,Total,0,18612,0.0,0.0,19.818,-
Cholera,Inyo,2014,Female,0,9144,0.0,0.0,40.334,-
Cholera,Inyo,2014,Male,0,9468,0.0,0.0,38.954,-
Cholera,Kern,2001,Total,0,679674,0.0,0.0,0.543,-
Cholera,Kings,2003,Male,0,79606,0.0,0.0,4.634,-
Cholera,Lake,2003,Male,0,30790,0.0,0.0,11.98,-
Cholera,Lake,2004,Total,0,62633,0.0,0.0,5.89,-
Cholera,Modoc,2002,Female,0,4651,0.0,0.0,79.282,-
Cholera,Modoc,2002,Male,0,4749,0.0,0.0,77.647,-
Cholera,Modoc,2003,Total,0,9511,0.0,0.0,38.778,-
Cholera,Modoc,2003,Female,0,4695,0.0,0.0,78.54,-
Cholera,Modoc,2003,Male,0,4816,0.0,0.0,76.567,-
Cholera,Modoc,2004,Total,0,9602,0.0,0.0,38.41,-
Cholera,Modoc,2004,Female,0,4740,0.0,0.0,77.794,-
Cholera,Kings,2009,Male,0,86927,0.0,0.0,4.244,-
Cholera,Kings,2010,Total,0,152693,0.0,0.0,2.416,-
Cholera,Kings,2010,Female,0,66218,0.0,0.0,5.571,-
Cholera,Kings,2010,Male,0,86475,0.0,0.0,4.266,-
Cholera,Kings,2011,Total,0,151685,0.0,0.0,2.432,-
Cholera,Kings,2011,Female,0,65733,0.0,0.0,5.612,-
Cholera,Kings,2011,Male,0,85952,0.0,0.0,4.292,-
Cholera,Kings,2012,Total,0,150643,0.0,0.0,2.449,-
Cholera,Kings,2012,Female,0,65236,0.0,0.0,5.655,-
Cholera,Kings,2012,Male,0,85407,0.0,0.0,4.319,-
Cholera,Kings,2013,Total,0,150507,0.0,0.0,2.451,-
Cholera,Kings,2013,Female,0,65192,0.0,0.0,5.658,-
Cholera,Kings,2013,Male,0,85315,0.0,0.0,4.324,-
Cholera,Kings,2014,Total,0,149788,0.0,0.0,2.463,-
Cholera,Kings,2014,Female,0,64992,0.0,0.0,5.676,-
Cholera,Kings,2014,Male,0,84796,0.0,0.0,4.35,-
Cholera,Lake,2001,Total,0,60046,0.0,0.0,6.143,-
Cholera,Lake,2001,Female,0,30250,0.0,0.0,12.194,-
Cholera,Lake,2001,Male,0,29796,0.0,0.0,12.38,-
Cholera,Lake,2002,Total,0,61005,0.0,0.0,6.047,-
Cholera,Lake,2002,Female,0,30720,0.0,0.0,12.007,-
Cholera,Lake,2002,Male,0,30285,0.0,0.0,12.18,-
Cholera,Lake,2003,Total,0,61981,0.0,0.0,5.951,-
Cholera,Lake,2003,Female,0,31191,0.0,0.0,11.826,-
Cholera,Modoc,2004,Male,0,4862,0.0,0.0,75.843,-
Cholera,Modoc,2005,Total,0,9588,0.0,0.0,38.467,-
Cholera,Modoc,2005,Female,0,4737,0.0,0.0,77.843,-
Cholera,Modoc,2005,Male,0,4851,0.0,0.0,76.015,-
Cholera,California,2001,Total,0,34514777,0.0,0.0,0.011,-
Cholera,California,2001,Female,0,17340743,0.0,0.0,0.021,-
Cholera,California,2001,Male,0,17174034,0.0,0.0,0.021,-
Cholera,California,2002,Total,0,34940334,0.0,0.0,0.011,-
Cholera,California,2002,Female,0,17555714,0.0,0.0,0.021,-
Cholera,California,2002,Male,0,17384620,0.0,0.0,0.021,-
Cholera,California,2003,Total,1,35390986,0.003,0.0,0.016,*
Cholera,California,2003,Female,1,17783924,0.006,0.0,0.031,*
Cholera,California,2003,Male,0,17607062,0.0,0.0,0.021,-
Cholera,California,2004,Total,1,35754827,0.003,0.0,0.016,*
Cholera,California,2004,Female,1,17969405,0.006,0.0,0.031,*
Cholera,California,2004,Male,0,17785422,0.0,0.0,0.021,-
Cholera,California,2005,Total,1,35987637,0.003,0.0,0.015,*
Cholera,California,2005,Female,0,18088355,0.0,0.0,0.02,-
Cholera,California,2005,Male,1,17899282,0.006,0.0,0.031,*
Cholera,California,2006,Total,1,36248870,0.003,0.0,0.015,*
Cholera,California,2006,Female,1,18220429,0.005,0.0,0.031,*
Cholera,California,2006,Male,0,18028441,0.0,0.0,0.02,-
Cholera,California,2007,Total,1,36554575,0.003,0.0,0.015,*
Cholera,California,2007,Female,1,18373955,0.005,0.0,0.03,*
Cholera,California,2007,Male,0,18180620,0.0,0.0,0.02,-
Cholera,California,2008,Total,0,36858270,0.0,0.0,0.01,-
Cholera,California,2008,Female,0,18526603,0.0,0.0,0.02,-
Cholera,California,2008,Male,0,18331667,0.0,0.0,0.02,-
Cholera,California,2009,Total,2,37079253,0.005,0.001,0.019,*
Cholera,California,2009,Female,0,18634031,0.0,0.0,0.02,-
Cholera,California,2009,Male,2,18445222,0.011,0.001,0.039,*
Cholera,California,2010,Total,0,37311439,0.0,0.0,0.01,-
Cholera,California,2010,Female,0,18752748,0.0,0.0,0.02,-
Cholera,California,2010,Male,0,18558691,0.0,0.0,0.02,-
Cholera,California,2011,Total,1,37572186,0.003,0.0,0.015,*
Cholera,California,2011,Female,1,18881056,0.005,0.0,0.03,*
