Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Measles,Alameda,2003,Female,1,747676,0.134,0.003,0.745,*
Measles,Alameda,2003,Male,1,719986,0.139,0.004,0.774,*
Measles,Alameda,2004,Total,0,1466017,0.0,0.0,0.252,-
Measles,Alameda,2004,Female,0,746959,0.0,0.0,0.494,-
Measles,Alameda,2004,Male,0,719059,0.0,0.0,0.513,-
Measles,Alameda,2005,Total,0,1460358,0.0,0.0,0.253,-
Measles,Alameda,2005,Female,0,744115,0.0,0.0,0.496,-
Measles,Alameda,2005,Male,0,716243,0.0,0.0,0.515,-
Measles,Alameda,2006,Total,1,1465322,0.068,0.002,0.38,*
Measles,Alameda,2006,Female,1,746698,0.134,0.003,0.746,*
Measles,Alameda,2006,Male,0,718624,0.0,0.0,0.513,-
Measles,Alameda,2007,Total,0,1476892,0.0,0.0,0.25,-
Measles,Alameda,2007,Female,0,752546,0.0,0.0,0.49,-
Measles,Alameda,2007,Male,0,724347,0.0,0.0,0.509,-
Measles,Alameda,2008,Total,0,1492275,0.0,0.0,0.247,-
Measles,Alameda,2008,Female,0,760368,0.0,0.0,0.485,-
Measles,Alameda,2008,Male,0,731907,0.0,0.0,0.504,-
Measles,Alameda,2009,Total,0,1504325,0.0,0.0,0.245,-
Measles,Alameda,2009,Female,0,765992,0.0,0.0,0.482,-
Measles,Alameda,2009,Male,0,738333,0.0,0.0,0.5,-
Measles,Alameda,2010,Total,2,1513734,0.132,0.016,0.477,*
Measles,Alameda,2010,Female,1,771369,0.13,0.003,0.722,*
Measles,Merced,2014,Male,0,133492,0.0,0.0,2.763,-
Measles,Modoc,2001,Total,0,9434,0.0,0.0,39.094,-
Measles,Modoc,2001,Female,0,4670,0.0,0.0,78.96,-
Measles,Modoc,2001,Male,0,4764,0.0,0.0,77.402,-
Measles,Modoc,2002,Total,0,9400,0.0,0.0,39.236,-
Measles,Modoc,2002,Female,0,4651,0.0,0.0,79.282,-
Measles,Modoc,2002,Male,0,4749,0.0,0.0,77.647,-
Measles,Modoc,2003,Total,0,9511,0.0,0.0,38.778,-
Measles,Modoc,2003,Female,0,4695,0.0,0.0,78.54,-
Measles,Modoc,2003,Male,0,4816,0.0,0.0,76.567,-
Measles,Modoc,2004,Total,0,9602,0.0,0.0,38.41,-
Measles,Modoc,2004,Female,0,4740,0.0,0.0,77.794,-
Measles,Modoc,2004,Male,0,4862,0.0,0.0,75.843,-
Measles,Modoc,2005,Total,0,9588,0.0,0.0,38.467,-
Measles,Modoc,2005,Female,0,4737,0.0,0.0,77.843,-
Measles,Modoc,2005,Male,0,4851,0.0,0.0,76.015,-
Measles,Modoc,2006,Total,0,9639,0.0,0.0,38.263,-
Measles,Modoc,2006,Female,0,4763,0.0,0.0,77.419,-
Measles,California,2001,Total,40,34514777,0.116,0.083,0.158, 
Measles,California,2001,Female,17,17340743,0.098,0.057,0.157,*
Measles,California,2001,Male,23,17174034,0.134,0.085,0.201, 
Measles,California,2002,Total,5,34940334,0.014,0.005,0.033,*
Measles,California,2002,Female,0,17555714,0.0,0.0,0.021,-
Measles,California,2002,Male,5,17384620,0.029,0.009,0.067,*
Measles,California,2003,Total,5,35390986,0.014,0.005,0.033,*
Measles,California,2003,Female,2,17783924,0.011,0.001,0.041,*
Measles,California,2003,Male,3,17607062,0.017,0.004,0.05,*
Measles,California,2004,Total,6,35754827,0.017,0.006,0.037,*
Measles,California,2004,Female,4,17969405,0.022,0.006,0.057,*
Measles,California,2004,Male,2,17785422,0.011,0.001,0.041,*
Measles,California,2005,Total,4,35987637,0.011,0.003,0.028,*
Measles,California,2005,Female,1,18088355,0.006,0.0,0.031,*
Measles,California,2005,Male,3,17899282,0.017,0.003,0.049,*
Measles,California,2006,Total,6,36248870,0.017,0.006,0.036,*
Measles,California,2006,Female,3,18220429,0.016,0.003,0.048,*
Measles,California,2006,Male,3,18028441,0.017,0.003,0.049,*
Measles,California,2007,Total,4,36554575,0.011,0.003,0.028,*
Measles,California,2007,Female,3,18373955,0.016,0.003,0.048,*
Measles,California,2007,Male,1,18180620,0.006,0.0,0.031,*
Measles,California,2008,Total,17,36858270,0.046,0.027,0.074,*
Measles,California,2008,Female,11,18526603,0.059,0.03,0.106,*
Measles,California,2008,Male,6,18331667,0.033,0.012,0.071,*
Measles,California,2009,Total,9,37079253,0.024,0.011,0.046,*
Measles,California,2009,Female,4,18634031,0.021,0.006,0.055,*
Measles,California,2009,Male,5,18445222,0.027,0.009,0.063,*
Measles,California,2010,Total,27,37311439,0.072,0.048,0.105, 
Measles,California,2010,Female,8,18752748,0.043,0.018,0.084,*
Measles,California,2010,Male,19,18558691,0.102,0.062,0.16, 
Measles,California,2011,Total,32,37572186,0.085,0.058,0.12, 
Measles,California,2011,Female,14,18881056,0.074,0.041,0.124,*
Measles,California,2011,Male,18,18691131,0.096,0.057,0.152,*
Measles,California,2012,Total,8,37869573,0.021,0.009,0.042,*
Measles,California,2012,Female,4,19028077,0.021,0.006,0.054,*
Measles,California,2012,Male,4,18841496,0.021,0.006,0.054,*
Measles,California,2013,Total,18,38166117,0.047,0.028,0.075,*
Measles,California,2013,Female,8,19177344,0.042,0.018,0.082,*
Measles,California,2013,Male,10,18988773,0.053,0.025,0.097,*
Measles,California,2014,Total,75,38501494,0.195,0.153,0.244, 
Measles,California,2014,Female,38,19346905,0.196,0.139,0.27, 
Measles,California,2014,Male,37,19154588,0.193,0.136,0.266, 
Measles,Alameda,2001,Total,1,1466038,0.068,0.002,0.38,*
Measles,Alameda,2001,Female,1,746829,0.134,0.003,0.746,*
Measles,Alameda,2001,Male,0,719209,0.0,0.0,0.513,-
Measles,Alameda,2002,Total,0,1468943,0.0,0.0,0.251,-
Measles,Alameda,2002,Female,0,748222,0.0,0.0,0.493,-
Measles,Alameda,2002,Male,0,720721,0.0,0.0,0.512,-
Measles,Alameda,2003,Total,2,1467663,0.136,0.017,0.492,*
Measles,Alameda,2010,Male,1,742365,0.135,0.003,0.751,*
Measles,Alameda,2011,Total,1,1526738,0.065,0.002,0.365,*
Measles,Alameda,2011,Female,1,777894,0.129,0.003,0.716,*
Measles,Alameda,2011,Male,0,748844,0.0,0.0,0.493,-
Measles,Alameda,2012,Total,0,1539660,0.0,0.0,0.24,-
Measles,Alameda,2012,Female,0,784429,0.0,0.0,0.47,-
Measles,Alameda,2012,Male,0,755231,0.0,0.0,0.488,-
Measles,Alameda,2013,Total,1,1564017,0.064,0.002,0.356,*
Measles,Alameda,2013,Female,0,797654,0.0,0.0,0.462,-
Measles,Alameda,2013,Male,1,766363,0.13,0.003,0.727,*
Measles,Alameda,2014,Total,6,1584507,0.379,0.139,0.824,*
Measles,Alameda,2014,Female,4,808612,0.495,0.135,1.267,*
Measles,Alameda,2014,Male,2,775895,0.258,0.031,0.931,*
Measles,Alpine,2001,Total,0,1237,0.0,0.0,297.768,-
Measles,Alpine,2001,Female,0,589,0.0,0.0,624.338,-
Measles,Alpine,2001,Male,0,648,0.0,0.0,567.654,-
Measles,Alpine,2002,Total,0,1248,0.0,0.0,295.147,-
Measles,Alpine,2002,Female,0,594,0.0,0.0,619.099,-
Measles,Alpine,2002,Male,0,654,0.0,0.0,562.461,-
Measles,Alpine,2003,Total,0,1249,0.0,0.0,294.911,-
Measles,Alpine,2003,Female,0,596,0.0,0.0,617.028,-
Measles,Alpine,2003,Male,0,653,0.0,0.0,563.32,-
Measles,Alpine,2004,Total,0,1266,0.0,0.0,290.957,-
Measles,Alpine,2004,Female,0,607,0.0,0.0,605.88,-
Measles,Alpine,2004,Male,0,659,0.0,0.0,558.205,-
Measles,Alpine,2005,Total,0,1208,0.0,0.0,304.905,-
Measles,Alpine,2005,Female,0,580,0.0,0.0,633.995,-
Measles,Alpine,2005,Male,0,628,0.0,0.0,585.679,-
Measles,Alpine,2006,Total,0,1255,0.0,0.0,293.503,-
Measles,Alpine,2006,Female,0,605,0.0,0.0,607.877,-
Measles,Alpine,2006,Male,0,650,0.0,0.0,565.913,-
Measles,Alpine,2007,Total,0,1248,0.0,0.0,295.147,-
Measles,Alpine,2007,Female,0,599,0.0,0.0,613.947,-
Measles,Alpine,2007,Male,0,649,0.0,0.0,566.782,-
Measles,Alpine,2008,Total,0,1208,0.0,0.0,304.905,-
Measles,Alpine,2008,Female,0,581,0.0,0.0,632.908,-
Measles,Alpine,2008,Male,0,627,0.0,0.0,586.611,-
Measles,Alpine,2009,Total,0,1180,0.0,0.0,312.129,-
Measles,Alpine,2009,Female,0,570,0.0,0.0,645.082,-
Measles,Alpine,2009,Male,0,610,0.0,0.0,602.909,-
Measles,Alpine,2010,Total,0,1163,0.0,0.0,316.684,-
Measles,Alpine,2010,Female,0,561,0.0,0.0,655.397,-
Measles,Alpine,2010,Male,0,602,0.0,0.0,610.897,-
Measles,Alpine,2011,Total,0,1118,0.0,0.0,329.41,-
Measles,Alpine,2011,Female,0,537,0.0,0.0,684.588,-
Measles,Alpine,2011,Male,0,581,0.0,0.0,632.908,-
Measles,Alpine,2012,Total,0,1114,0.0,0.0,330.591,-
Measles,Alpine,2012,Female,0,535,0.0,0.0,687.139,-
Measles,Alpine,2012,Male,0,579,0.0,0.0,635.087,-
Measles,Alpine,2013,Total,0,1112,0.0,0.0,331.184,-
Measles,Alpine,2013,Female,0,533,0.0,0.0,689.708,-
Measles,Alpine,2013,Male,0,579,0.0,0.0,635.087,-
Measles,Alpine,2014,Total,0,1112,0.0,0.0,331.184,-
Measles,Alpine,2014,Female,0,534,0.0,0.0,688.421,-
Measles,Alpine,2014,Male,0,578,0.0,0.0,636.182,-
Measles,Amador,2001,Total,0,35784,0.0,0.0,10.308,-
Measles,Amador,2001,Female,0,16101,0.0,0.0,22.908,-
Measles,Amador,2001,Male,0,19683,0.0,0.0,18.74,-
Measles,Amador,2002,Total,0,36535,0.0,0.0,10.096,-
Measles,Amador,2002,Female,0,16416,0.0,0.0,22.469,-
Measles,Amador,2002,Male,0,20119,0.0,0.0,18.334,-
Measles,Amador,2003,Total,0,36776,0.0,0.0,10.03,-
Measles,Amador,2003,Female,0,16572,0.0,0.0,22.257,-
Measles,Amador,2003,Male,0,20204,0.0,0.0,18.256,-
Measles,Amador,2004,Total,0,37147,0.0,0.0,9.93,-
Measles,Amador,2004,Female,0,16732,0.0,0.0,22.044,-
Measles,Amador,2004,Male,0,20415,0.0,0.0,18.068,-
Measles,Amador,2005,Total,0,37722,0.0,0.0,9.779,-
Measles,Amador,2005,Female,0,16990,0.0,0.0,21.71,-
Measles,Amador,2005,Male,0,20732,0.0,0.0,17.792,-
Measles,Amador,2006,Total,0,37964,0.0,0.0,9.716,-
Measles,Amador,2006,Female,0,17119,0.0,0.0,21.546,-
Measles,Amador,2006,Male,0,20845,0.0,0.0,17.695,-
Measles,Amador,2007,Total,0,38085,0.0,0.0,9.685,-
Measles,Amador,2007,Female,0,17207,0.0,0.0,21.436,-
Measles,Amador,2007,Male,0,20878,0.0,0.0,17.667,-
Measles,Amador,2008,Total,0,37864,0.0,0.0,9.742,-
Measles,Amador,2008,Female,0,17163,0.0,0.0,21.491,-
Measles,Amador,2008,Male,0,20701,0.0,0.0,17.818,-
Measles,Amador,2009,Total,0,37905,0.0,0.0,9.731,-
Measles,Amador,2009,Female,0,17197,0.0,0.0,21.448,-
Measles,Amador,2009,Male,0,20708,0.0,0.0,17.812,-
Measles,Amador,2010,Total,1,37863,2.641,0.067,14.714,*
Measles,Amador,2010,Female,1,17118,5.842,0.148,32.544,*
Measles,Amador,2010,Male,0,20745,0.0,0.0,17.78,-
Measles,Amador,2011,Total,0,37309,0.0,0.0,9.887,-
Measles,Amador,2011,Female,0,16886,0.0,0.0,21.843,-
Measles,Amador,2011,Male,0,20423,0.0,0.0,18.061,-
Measles,Amador,2012,Total,0,36403,0.0,0.0,10.133,-
Measles,Amador,2012,Female,0,16489,0.0,0.0,22.369,-
Measles,Amador,2012,Male,0,19914,0.0,0.0,18.522,-
Measles,Amador,2013,Total,0,36028,0.0,0.0,10.238,-
Measles,Amador,2013,Female,0,16327,0.0,0.0,22.591,-
Measles,Amador,2013,Male,0,19701,0.0,0.0,18.723,-
Measles,Amador,2014,Total,0,36099,0.0,0.0,10.218,-
Measles,Amador,2014,Female,0,16358,0.0,0.0,22.548,-
Measles,Amador,2014,Male,0,19741,0.0,0.0,18.685,-
Measles,Butte,2001,Total,0,205730,0.0,0.0,1.793,-
Measles,Butte,2001,Female,0,104697,0.0,0.0,3.523,-
Measles,Butte,2001,Male,0,101033,0.0,0.0,3.651,-
Measles,Butte,2002,Total,0,208154,0.0,0.0,1.772,-
Measles,Butte,2002,Female,0,105823,0.0,0.0,3.486,-
Measles,Butte,2002,Male,0,102331,0.0,0.0,3.605,-
Measles,Butte,2003,Total,0,210623,0.0,0.0,1.751,-
Measles,Butte,2003,Female,0,106998,0.0,0.0,3.448,-
Measles,Butte,2003,Male,0,103625,0.0,0.0,3.56,-
Measles,Butte,2004,Total,0,212212,0.0,0.0,1.738,-
Measles,Butte,2004,Female,0,107746,0.0,0.0,3.424,-
Measles,Butte,2004,Male,0,104466,0.0,0.0,3.531,-
Measles,Butte,2005,Total,0,213698,0.0,0.0,1.726,-
Measles,Butte,2005,Female,0,108417,0.0,0.0,3.402,-
Measles,Butte,2005,Male,0,105281,0.0,0.0,3.504,-
Measles,Butte,2006,Total,0,215684,0.0,0.0,1.71,-
Measles,Butte,2006,Female,0,109338,0.0,0.0,3.374,-
Measles,Butte,2006,Male,0,106346,0.0,0.0,3.469,-
Measles,Butte,2007,Total,0,217115,0.0,0.0,1.699,-
Measles,Butte,2007,Female,0,110027,0.0,0.0,3.353,-
Measles,Butte,2007,Male,0,107088,0.0,0.0,3.445,-
Measles,Butte,2008,Total,0,218485,0.0,0.0,1.688,-
Measles,Butte,2008,Female,0,110685,0.0,0.0,3.333,-
Measles,Butte,2008,Male,0,107800,0.0,0.0,3.422,-
Measles,Butte,2009,Total,0,219287,0.0,0.0,1.682,-
Measles,Butte,2009,Female,0,110967,0.0,0.0,3.324,-
